person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
30,33280,0.0,1.0,2.0,2.0,4000,13.79,0,0.12,0.0,9
25,80000,2.0,2.0,2.0,0.0,5000,7.51,0,0.06,0.0,3
23,40000,2.0,2.0,2.0,1.0,7000,8.88,0,0.17,0.0,3
21,86000,0.0,5.0,1.0,1.0,6000,10.0,0,0.07,0.0,4
27,75000,2.0,0.0,4.0,3.0,23200,,0,0.31,0.0,9
29,72000,0.0,3.0,2.0,1.0,9500,11.26,0,0.13,0.0,7
30,25000,2.0,10.0,0.0,0.0,6400,7.51,0,0.26,0.0,8
23,45000,2.0,8.0,3.0,1.0,13000,10.99,0,0.29,0.0,2
25,45000,2.0,1.0,3.0,0.0,3000,6.62,0,0.07,0.0,2
32,95000,2.0,12.0,1.0,0.0,9000,5.42,0,0.09,0.0,7
42,60000,2.0,1.0,2.0,0.0,8000,5.42,0,0.13,0.0,13
31,168000,2.0,2.0,3.0,1.0,15500,9.25,0,0.09,0.0,7
22,43000,0.0,5.0,3.0,1.0,2400,10.99,0,0.06,0.0,4
33,30000,0.0,2.0,3.0,1.0,2400,9.91,0,0.08,0.0,5
27,130000,2.0,3.0,3.0,1.0,24000,10.99,0,0.18,0.0,10
23,85000,0.0,5.0,0.0,0.0,13600,6.03,0,0.16,0.0,3
23,100000,0.0,1.0,1.0,2.0,12000,13.57,0,0.12,0.0,3
40,43000,2.0,18.0,0.0,2.0,2500,12.84,0,0.06,0.0,14
39,40000,0.0,5.0,0.0,3.0,6000,14.54,0,0.15,0.0,16
23,75000,2.0,4.0,3.0,1.0,12000,9.91,0,0.16,0.0,2
22,60000,2.0,6.0,2.0,0.0,7000,7.14,0,0.12,0.0,3
35,60000,0.0,0.0,4.0,2.0,4000,13.98,0,0.07,1.0,7
31,85000,0.0,5.0,3.0,2.0,16000,11.34,0,0.19,0.0,6
27,98000,0.0,3.0,3.0,2.0,5000,13.98,0,0.05,1.0,6
23,65000,2.0,4.0,5.0,0.0,5400,8.9,0,0.08,0.0,3
32,70000,0.0,1.0,5.0,1.0,9450,10.83,0,0.14,0.0,10
23,103240,2.0,0.0,3.0,0.0,4000,,0,0.04,0.0,3
22,33996,1.0,0.0,3.0,3.0,10000,14.96,0,0.29,1.0,3
31,52000,0.0,0.0,3.0,0.0,8000,7.51,0,0.15,0.0,5
30,90000,2.0,2.0,4.0,1.0,7000,11.71,0,0.08,0.0,10
23,57000,0.0,8.0,1.0,2.0,7500,11.97,0,0.13,0.0,4
22,30000,0.0,0.0,1.0,2.0,6300,13.22,0,0.21,1.0,3
25,110000,2.0,2.0,4.0,0.0,15000,7.88,0,0.14,0.0,2
23,63000,0.0,3.0,3.0,3.0,5400,14.54,0,0.09,0.0,2
30,27996,0.0,9.0,2.0,2.0,1500,,0,0.05,1.0,8
31,63000,2.0,3.0,3.0,2.0,7000,13.92,0,0.11,0.0,7
35,38400,2.0,1.0,3.0,1.0,9500,10.36,0,0.25,0.0,6
35,58000,0.0,0.0,2.0,2.0,12000,12.99,0,0.21,1.0,8
70,39996,0.0,,2.0,2.0,3600,15.23,0,0.09,1.0,19
60,150000,2.0,1.0,0.0,0.0,10000,5.79,0,0.07,0.0,18
21,32000,0.0,3.0,3.0,1.0,7000,11.49,0,0.22,0.0,2
22,80000,0.0,1.0,1.0,0.0,6000,,0,0.07,0.0,2
28,39516,0.0,0.0,1.0,2.0,5000,12.87,0,0.13,0.0,10
43,74000,2.0,5.0,2.0,1.0,11000,9.91,0,0.15,0.0,15
22,96384,2.0,6.0,3.0,1.0,18000,10.25,0,0.19,0.0,3
25,60000,0.0,3.0,0.0,2.0,12000,14.26,0,0.2,0.0,4
22,44400,0.0,2.0,1.0,2.0,5500,12.73,0,0.12,0.0,4
27,90000,2.0,2.0,0.0,4.0,20000,16.7,0,0.22,0.0,9
23,26496,0.0,1.0,5.0,2.0,2000,13.61,0,0.08,0.0,4
23,109000,2.0,5.0,1.0,0.0,7500,8.9,0,0.07,0.0,4
33,60000,2.0,1.0,3.0,3.0,17000,16.07,0,0.28,1.0,5
25,102000,1.0,9.0,2.0,1.0,8000,12.42,0,0.08,0.0,4
30,189000,2.0,5.0,4.0,4.0,16000,16.35,0,0.08,0.0,8
21,155800,2.0,2.0,2.0,1.0,18000,11.26,0,0.12,0.0,3
25,36000,0.0,1.0,2.0,1.0,6600,11.49,0,0.18,0.0,4
25,48000,0.0,9.0,0.0,1.0,4800,,0,0.1,0.0,4
28,50000,1.0,12.0,3.0,0.0,6000,6.03,0,0.12,0.0,9
26,44004,0.0,2.0,2.0,0.0,4500,7.74,0,0.1,0.0,3
23,36000,0.0,1.0,1.0,2.0,5000,14.79,0,0.14,0.0,2
34,97356,0.0,12.0,0.0,2.0,20000,13.22,0,0.21,1.0,7
24,80000,2.0,2.0,2.0,1.0,2500,11.49,0,0.03,0.0,2
26,175000,0.0,2.0,1.0,1.0,17000,9.88,0,0.1,0.0,2
31,35000,2.0,13.0,2.0,0.0,2000,,0,0.06,0.0,6
38,110000,2.0,5.0,2.0,1.0,16000,11.99,0,0.15,0.0,13
24,110000,0.0,1.0,5.0,1.0,12500,9.62,0,0.11,0.0,4
29,62400,0.0,3.0,4.0,0.0,8000,6.62,0,0.13,0.0,9
25,28800,0.0,0.0,1.0,0.0,5000,8.9,0,0.17,0.0,4
42,41000,2.0,17.0,1.0,1.0,10000,10.99,0,0.24,0.0,12
25,180488,2.0,9.0,4.0,2.0,24000,12.87,0,0.13,0.0,2
26,70000,0.0,3.0,0.0,3.0,5000,,0,0.07,1.0,3
38,112224,2.0,5.0,1.0,0.0,25000,6.99,0,0.22,0.0,13
34,84000,2.0,15.0,2.0,1.0,9250,11.36,0,0.11,0.0,7
22,57996,2.0,2.0,3.0,1.0,2500,12.53,0,0.04,0.0,4
31,55000,2.0,9.0,5.0,0.0,8000,7.49,0,0.15,0.0,9
22,48000,2.0,0.0,2.0,0.0,3500,6.54,0,0.07,0.0,3
23,68400,2.0,,3.0,1.0,1800,8.88,0,0.03,0.0,4
28,130000,2.0,12.0,0.0,1.0,13000,10.75,0,0.1,0.0,10
23,54000,1.0,4.0,5.0,3.0,2800,14.42,0,0.05,0.0,3
26,88068,0.0,10.0,5.0,1.0,14400,,0,0.16,0.0,2
31,36000,0.0,5.0,5.0,1.0,3000,9.91,0,0.08,0.0,7
27,75500,2.0,8.0,1.0,0.0,9000,7.9,0,0.12,0.0,5
25,27600,0.0,2.0,3.0,1.0,3200,12.21,0,0.12,0.0,2
25,87000,0.0,3.0,2.0,1.0,8000,10.37,0,0.09,0.0,2
23,45000,2.0,7.0,3.0,0.0,5000,6.76,0,0.11,0.0,3
54,79864,2.0,5.0,0.0,1.0,1800,9.88,0,0.02,0.0,21
23,110000,2.0,8.0,3.0,0.0,7800,,0,0.07,0.0,4
24,33600,1.0,8.0,3.0,0.0,2500,6.39,0,0.07,0.0,3
24,75000,2.0,7.0,1.0,0.0,8500,6.99,0,0.11,0.0,3
24,42996,0.0,5.0,2.0,0.0,5000,7.14,0,0.12,0.0,4
33,80000,2.0,1.0,4.0,0.0,6000,7.88,0,0.07,0.0,10
23,45000,2.0,6.0,2.0,1.0,5600,11.71,0,0.12,0.0,3
29,100000,1.0,0.0,3.0,1.0,15800,11.14,0,0.16,0.0,6
27,61400,2.0,3.0,0.0,2.0,10000,,0,0.16,1.0,9
22,50000,2.0,3.0,0.0,1.0,6000,11.11,0,0.12,0.0,3
27,28000,0.0,1.0,5.0,1.0,7600,10.99,0,0.27,0.0,7
25,108000,2.0,9.0,2.0,1.0,15000,10.39,0,0.14,0.0,4
29,38400,0.0,4.0,3.0,1.0,3550,11.49,0,0.09,0.0,7
31,46300,2.0,16.0,0.0,0.0,7500,7.88,0,0.16,0.0,6
24,140004,2.0,4.0,1.0,4.0,4000,16.45,0,0.03,0.0,3
37,78000,0.0,0.0,2.0,2.0,9600,12.99,0,0.12,0.0,16
23,60000,0.0,3.0,1.0,2.0,12250,10.59,0,0.2,0.0,3
25,33000,0.0,9.0,2.0,0.0,3200,5.42,0,0.1,0.0,4
30,24000,1.0,0.0,3.0,0.0,2500,7.29,0,0.1,0.0,6
23,90000,2.0,6.0,5.0,0.0,12000,,0,0.13,0.0,3
23,24000,0.0,0.0,2.0,0.0,3050,7.49,0,0.13,0.0,4
26,85000,2.0,10.0,2.0,0.0,24000,8.9,0,0.28,0.0,3
28,48000,2.0,4.0,0.0,1.0,3000,11.99,0,0.06,0.0,10
57,64000,0.0,20.0,3.0,0.0,8000,8.9,0,0.13,0.0,19
28,42100,0.0,0.0,0.0,1.0,4925,11.49,0,0.12,0.0,7
24,80000,1.0,0.0,1.0,0.0,16000,6.17,0,0.2,0.0,4
28,58000,0.0,3.0,1.0,1.0,12500,11.71,0,0.22,0.0,7
21,45000,0.0,0.0,1.0,2.0,4000,,0,0.09,0.0,3
34,67000,2.0,4.0,5.0,2.0,6400,13.23,0,0.1,0.0,7
32,28800,0.0,3.0,2.0,0.0,7000,7.51,0,0.24,0.0,10
24,75000,0.0,6.0,4.0,1.0,15000,11.71,0,0.2,0.0,4
25,71000,1.0,,3.0,0.0,3250,5.79,0,0.05,0.0,2
27,59147,2.0,11.0,2.0,1.0,7000,11.26,0,0.12,0.0,5
24,86400,2.0,8.0,0.0,2.0,16200,,0,0.19,0.0,4
22,48156,2.0,6.0,5.0,0.0,3000,,0,0.06,0.0,2
33,34400,0.0,6.0,3.0,1.0,4000,10.25,0,0.12,0.0,9
34,72000,0.0,2.0,4.0,0.0,10000,7.51,0,0.14,0.0,7
26,52000,1.0,10.0,1.0,3.0,5000,15.65,0,0.1,1.0,4
34,110000,2.0,2.0,2.0,0.0,10000,7.29,0,0.09,0.0,10
31,84000,2.0,2.0,3.0,0.0,7600,7.51,0,0.09,0.0,5
25,77000,2.0,8.0,4.0,0.0,9000,6.03,0,0.12,0.0,3
30,105000,2.0,14.0,2.0,1.0,7725,,0,0.07,0.0,9
33,31000,1.0,0.0,3.0,0.0,2500,8.38,0,0.08,0.0,9
25,75000,0.0,1.0,4.0,2.0,11250,,0,0.15,0.0,3
26,30000,0.0,2.0,2.0,1.0,7000,10.71,0,0.23,0.0,4
25,49000,0.0,8.0,1.0,2.0,6000,,0,0.12,1.0,2
21,47200,2.0,1.0,2.0,2.0,7000,13.23,0,0.15,0.0,4
25,72600,0.0,5.0,4.0,0.0,6500,7.74,0,0.09,0.0,2
32,38100,2.0,0.0,1.0,0.0,8400,8.38,0,0.22,0.0,9
33,24000,0.0,0.0,5.0,2.0,2000,14.35,0,0.08,1.0,8
24,97000,2.0,3.0,1.0,2.0,6400,15.96,0,0.07,0.0,3
62,60000,2.0,5.0,0.0,0.0,16000,8.9,0,0.27,0.0,19
37,60000,2.0,17.0,4.0,0.0,6000,9.32,0,0.1,0.0,16
31,70000,2.0,9.0,2.0,0.0,18000,8.9,0,0.26,0.0,10
23,84000,0.0,5.0,3.0,0.0,6000,6.99,0,0.07,0.0,3
23,100000,2.0,5.0,5.0,2.0,15000,11.34,0,0.15,1.0,2
30,120000,2.0,1.0,1.0,1.0,4800,10.36,0,0.04,0.0,8
23,78000,0.0,6.0,3.0,2.0,14400,14.27,0,0.18,1.0,4
28,190000,2.0,7.0,1.0,1.0,25000,,0,0.13,0.0,8
22,58000,1.0,5.0,1.0,2.0,4500,13.16,0,0.08,0.0,2
25,129996,2.0,9.0,3.0,1.0,7500,11.86,0,0.06,0.0,3
23,70000,0.0,8.0,5.0,0.0,6725,6.62,0,0.1,0.0,2
29,125000,0.0,2.0,5.0,0.0,14000,9.63,0,0.11,0.0,6
26,50000,2.0,2.0,0.0,3.0,20000,13.3,0,0.4,0.0,3
24,52800,0.0,1.0,2.0,2.0,8000,12.87,0,0.15,1.0,3
24,80000,1.0,0.0,3.0,0.0,5500,8.94,0,0.07,0.0,2
23,34800,0.0,1.0,3.0,1.0,1000,11.99,0,0.03,0.0,4
27,90000,0.0,4.0,3.0,0.0,10000,7.49,0,0.11,0.0,9
22,120000,2.0,0.0,1.0,3.0,16800,15.62,0,0.14,0.0,4
22,60000,2.0,6.0,0.0,1.0,12900,11.14,0,0.21,0.0,4
24,39600,0.0,,3.0,0.0,12000,8.9,0,0.3,0.0,4
32,50880,0.0,6.0,0.0,5.0,15000,20.25,0,0.29,1.0,5
27,43200,1.0,2.0,3.0,1.0,5000,12.69,0,0.12,0.0,8
22,52500,2.0,6.0,5.0,2.0,8000,15.23,0,0.15,0.0,3
22,70000,2.0,6.0,0.0,3.0,25000,15.31,0,0.36,1.0,4
26,82400,0.0,10.0,3.0,2.0,2500,13.92,0,0.03,0.0,3
25,75000,2.0,2.0,5.0,2.0,12000,,0,0.16,1.0,3
24,108000,2.0,1.0,4.0,2.0,18000,12.53,0,0.17,1.0,3
28,200000,2.0,2.0,0.0,0.0,15000,6.03,0,0.07,0.0,6
37,36000,0.0,2.0,0.0,1.0,4800,10.75,0,0.13,0.0,14
23,100000,2.0,5.0,2.0,1.0,8000,11.49,0,0.08,0.0,4
30,130000,2.0,3.0,1.0,2.0,33250,13.06,0,0.26,1.0,5
36,73000,0.0,3.0,0.0,1.0,4000,11.12,0,0.05,0.0,16
22,51996,0.0,4.0,0.0,1.0,3500,9.62,0,0.07,0.0,2
45,110000,2.0,5.0,0.0,1.0,20000,11.11,0,0.18,0.0,16
26,40000,0.0,3.0,5.0,1.0,5000,9.45,0,0.13,0.0,3
29,27048,0.0,5.0,5.0,1.0,3500,11.99,0,0.13,0.0,7
23,72000,2.0,7.0,3.0,0.0,9000,6.76,0,0.13,0.0,2
24,68004,2.0,7.0,1.0,0.0,4000,6.39,0,0.06,0.0,3
24,38500,2.0,5.0,0.0,2.0,2500,,0,0.06,0.0,4
41,88712,0.0,2.0,3.0,1.0,16000,10.95,0,0.18,0.0,15
25,82729,1.0,8.0,3.0,0.0,4800,6.17,0,0.06,0.0,3
24,65000,2.0,5.0,2.0,1.0,2000,9.62,0,0.03,0.0,3
39,78840,2.0,18.0,5.0,1.0,15000,11.71,0,0.19,0.0,13
29,46000,2.0,3.0,0.0,1.0,6000,11.49,0,0.13,0.0,8
26,41000,1.0,7.0,4.0,3.0,9000,,0,0.22,0.0,4
28,85000,0.0,6.0,0.0,2.0,14000,14.65,0,0.16,1.0,9
31,76000,0.0,4.0,4.0,0.0,6000,7.49,0,0.08,0.0,5
32,121500,2.0,11.0,3.0,0.0,6000,7.51,0,0.05,0.0,6
32,55000,0.0,0.0,0.0,1.0,8000,10.0,0,0.15,0.0,9
48,44000,0.0,6.0,2.0,1.0,5850,9.99,0,0.13,0.0,13
22,60000,0.0,5.0,3.0,2.0,2100,13.43,0,0.04,0.0,2
22,35000,0.0,3.0,5.0,0.0,5000,7.88,0,0.14,0.0,3
24,85000,2.0,4.0,5.0,1.0,7750,11.12,0,0.09,0.0,4
29,141000,2.0,1.0,3.0,0.0,8000,6.99,0,0.06,0.0,9
35,52000,0.0,2.0,2.0,1.0,3000,11.48,0,0.06,0.0,7
24,95610,2.0,8.0,3.0,1.0,6000,10.99,0,0.06,0.0,4
24,57600,0.0,3.0,0.0,2.0,5275,13.49,0,0.09,1.0,2
27,21600,0.0,9.0,0.0,0.0,6000,7.88,0,0.28,0.0,9
22,50000,2.0,6.0,3.0,1.0,7200,,0,0.14,0.0,3
24,100000,2.0,8.0,3.0,5.0,30000,18.62,0,0.3,1.0,2
22,75000,0.0,6.0,3.0,0.0,12000,,0,0.16,0.0,3
41,34800,0.0,4.0,5.0,1.0,5000,11.99,0,0.14,0.0,14
27,60000,2.0,5.0,2.0,0.0,6000,8.94,0,0.1,0.0,10
26,37000,0.0,2.0,3.0,0.0,2500,7.14,0,0.07,0.0,3
25,25000,1.0,,1.0,0.0,8500,6.03,0,0.34,0.0,2
24,60000,2.0,8.0,0.0,3.0,10000,14.42,0,0.17,0.0,4
23,129996,2.0,2.0,3.0,1.0,30000,11.11,0,0.23,0.0,4
23,58320,0.0,4.0,2.0,1.0,4000,10.37,0,0.07,0.0,2
53,95000,1.0,24.0,0.0,0.0,6000,5.42,0,0.06,0.0,30
25,66420,2.0,1.0,1.0,1.0,4000,12.18,0,0.06,0.0,2
45,115000,2.0,8.0,3.0,0.0,8000,8.94,0,0.07,0.0,11
29,200000,2.0,9.0,2.0,1.0,6000,,0,0.03,0.0,8
23,130000,2.0,,2.0,0.0,6000,5.42,0,0.05,0.0,4
22,45000,0.0,2.0,1.0,2.0,9600,12.73,0,0.21,0.0,3
24,65000,0.0,3.0,0.0,1.0,10000,12.42,0,0.15,0.0,2
21,24000,0.0,0.0,1.0,2.0,4600,13.99,0,0.19,1.0,2
23,75000,0.0,4.0,1.0,1.0,7500,11.83,0,0.1,0.0,2
24,110000,2.0,8.0,1.0,0.0,6000,8.59,0,0.05,0.0,3
27,52000,2.0,11.0,4.0,0.0,6000,7.49,0,0.12,0.0,8
29,30000,0.0,7.0,0.0,0.0,6000,8.9,0,0.2,0.0,10
29,48000,1.0,1.0,0.0,1.0,1850,10.74,0,0.04,0.0,7
23,45000,2.0,4.0,1.0,2.0,14500,13.48,0,0.32,1.0,2
33,104000,2.0,3.0,1.0,0.0,16000,,0,0.15,0.0,9
24,66000,2.0,7.0,3.0,2.0,11200,13.99,0,0.17,0.0,2
25,66000,0.0,7.0,5.0,1.0,6500,10.25,0,0.1,0.0,3
27,137720,2.0,6.0,5.0,0.0,13000,7.14,0,0.09,0.0,9
23,84000,2.0,7.0,0.0,1.0,25000,10.25,0,0.3,0.0,2
23,41000,2.0,7.0,5.0,1.0,5500,10.71,0,0.13,0.0,4
39,134000,2.0,,3.0,1.0,25000,10.25,0,0.19,0.0,17
27,38000,2.0,11.0,5.0,1.0,5000,9.76,0,0.13,0.0,5
42,150000,2.0,0.0,4.0,0.0,16000,8.49,0,0.11,0.0,12
21,95000,2.0,5.0,3.0,0.0,15000,,0,0.16,0.0,2
24,72000,0.0,3.0,1.0,0.0,6000,7.66,0,0.08,0.0,3
34,140004,2.0,4.0,5.0,0.0,12000,,0,0.09,0.0,8
24,28800,0.0,5.0,0.0,0.0,8000,,0,0.28,0.0,3
28,66500,0.0,4.0,3.0,1.0,16000,12.18,0,0.24,0.0,6
25,57000,0.0,2.0,0.0,0.0,9500,6.17,0,0.17,0.0,3
25,34000,0.0,0.0,3.0,0.0,6650,8.9,0,0.2,0.0,3
22,82000,2.0,3.0,0.0,1.0,8300,11.46,0,0.1,0.0,3
37,160000,2.0,3.0,0.0,0.0,24000,6.54,0,0.15,0.0,15
23,60000,2.0,7.0,5.0,0.0,12000,7.29,0,0.2,0.0,3
33,34000,0.0,7.0,5.0,2.0,10000,14.22,0,0.29,0.0,9
26,30000,1.0,0.0,0.0,2.0,15000,13.22,0,0.5,0.0,2
33,24000,0.0,0.0,1.0,2.0,2000,14.35,0,0.08,1.0,7
23,65000,2.0,1.0,0.0,1.0,10800,10.0,0,0.17,0.0,4
34,39996,0.0,1.0,0.0,0.0,5000,7.51,0,0.13,0.0,6
25,100000,2.0,9.0,4.0,0.0,11650,6.62,0,0.12,0.0,3
26,96000,0.0,2.0,4.0,0.0,1750,6.54,0,0.02,0.0,2
27,189000,2.0,2.0,3.0,3.0,5125,14.84,0,0.03,1.0,6
23,42000,0.0,1.0,3.0,2.0,8000,12.84,0,0.19,0.0,4
26,215000,2.0,11.0,1.0,0.0,12000,7.88,0,0.06,0.0,2
36,48000,2.0,17.0,3.0,0.0,10000,9.63,0,0.21,0.0,14
47,50004,2.0,22.0,3.0,0.0,8000,,0,0.16,0.0,15
22,50000,2.0,6.0,3.0,0.0,6800,6.92,0,0.14,0.0,4
24,37200,0.0,4.0,2.0,3.0,10000,12.92,0,0.27,1.0,4
31,45000,2.0,8.0,3.0,1.0,7500,10.62,0,0.17,0.0,5
24,70000,0.0,4.0,1.0,2.0,14400,12.68,0,0.21,1.0,4
26,52000,0.0,2.0,1.0,1.0,4800,9.99,0,0.09,0.0,2
23,77000,0.0,2.0,5.0,1.0,16000,11.14,0,0.21,0.0,3
21,64424,0.0,3.0,0.0,0.0,5000,6.03,0,0.08,0.0,4
49,95000,2.0,2.0,4.0,0.0,3000,5.42,0,0.03,0.0,12
31,63000,1.0,,2.0,0.0,5000,6.03,0,0.08,0.0,5
23,52360,2.0,,3.0,3.0,15000,16.49,0,0.29,1.0,2
34,63000,2.0,3.0,5.0,1.0,15000,10.99,0,0.24,0.0,9
24,189000,2.0,4.0,1.0,0.0,5000,9.32,0,0.03,0.0,2
27,75000,0.0,3.0,3.0,1.0,12000,11.49,0,0.16,0.0,5
24,35000,0.0,8.0,2.0,1.0,7000,12.69,0,0.2,0.0,2
27,54000,0.0,11.0,3.0,3.0,6000,14.59,0,0.11,1.0,5
23,65000,1.0,6.0,0.0,1.0,6000,10.65,0,0.09,0.0,2
27,65000,2.0,7.0,4.0,1.0,12000,11.36,0,0.18,0.0,8
27,41000,2.0,3.0,0.0,0.0,10000,8.59,0,0.24,0.0,8
27,320000,2.0,11.0,5.0,0.0,28000,7.9,0,0.09,0.0,9
28,33400,2.0,12.0,0.0,0.0,16700,7.66,0,0.5,0.0,5
24,39500,0.0,0.0,0.0,1.0,6400,10.36,0,0.16,0.0,2
32,75000,2.0,5.0,3.0,2.0,16000,13.49,0,0.21,0.0,8
22,61000,2.0,2.0,2.0,0.0,18200,7.51,0,0.3,0.0,4
31,47756,0.0,3.0,2.0,2.0,3350,13.98,0,0.07,0.0,5
24,45000,0.0,3.0,5.0,1.0,7200,10.65,0,0.16,0.0,4
34,41600,2.0,16.0,5.0,0.0,17500,6.17,0,0.42,0.0,8
23,78625,0.0,3.0,0.0,1.0,13600,9.88,0,0.17,0.0,3
27,200000,2.0,6.0,1.0,0.0,10000,7.51,0,0.05,0.0,10
22,27040,0.0,0.0,5.0,2.0,1500,12.73,0,0.06,0.0,2
25,96500,2.0,0.0,0.0,0.0,10000,6.17,0,0.1,0.0,2
26,90000,0.0,0.0,2.0,0.0,12000,9.38,0,0.13,0.0,3
24,76000,0.0,6.0,4.0,1.0,16000,10.99,0,0.21,0.0,3
37,85000,1.0,3.0,1.0,5.0,10000,18.43,0,0.12,1.0,16
32,37965,0.0,3.0,0.0,0.0,10000,9.63,0,0.26,0.0,6
24,83500,0.0,1.0,1.0,2.0,20000,13.48,0,0.24,0.0,3
22,61000,2.0,6.0,2.0,2.0,12000,13.49,0,0.2,0.0,4
22,55000,1.0,0.0,3.0,0.0,1000,8.59,0,0.02,0.0,3
29,140000,2.0,12.0,2.0,1.0,24250,11.12,0,0.17,0.0,8
26,65000,2.0,0.0,0.0,0.0,4000,5.42,0,0.06,0.0,2
30,60000,2.0,14.0,0.0,1.0,1750,9.99,0,0.03,0.0,8
29,20000,0.0,0.0,5.0,2.0,1200,11.54,0,0.06,0.0,5
38,42000,0.0,2.0,2.0,0.0,4500,6.62,0,0.11,0.0,11
35,30000,2.0,11.0,2.0,1.0,11000,10.65,0,0.37,0.0,10
32,58000,0.0,4.0,0.0,1.0,12000,11.26,0,0.21,0.0,10
21,69000,0.0,5.0,5.0,0.0,12000,7.88,0,0.17,0.0,4
33,48000,0.0,5.0,2.0,3.0,9600,16.29,0,0.2,1.0,7
30,155000,0.0,9.0,2.0,0.0,6000,7.14,0,0.04,0.0,8
34,31500,2.0,16.0,0.0,1.0,6000,,0,0.19,0.0,8
22,80000,0.0,2.0,1.0,1.0,12000,11.71,0,0.15,0.0,4
27,50000,0.0,0.0,3.0,0.0,14000,6.54,0,0.28,0.0,8
